City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Huarmey,PE,2020-08-30 02:27:16,-10.07,-78.15,61.05,85,52,7.85
170,Cherskiy,RU,2020-08-30 02:27:16,68.75,161.3,46.0,73,100,6.29
171,Trinidad,BO,2020-08-30 02:27:16,-14.83,-64.9,82.33,34,0,2.82
172,Telford,GB,2020-08-30 02:27:16,52.68,-2.45,46.99,81,0,4.7
173,Raiwala,IN,2020-08-30 02:27:16,30.02,78.22,77.0,94,90,2.08
174,Ashland,US,2020-08-30 02:27:17,40.82,-82.27,69.8,64,20,5.82
175,Diego De Almagro,CL,2020-08-30 02:27:17,-26.37,-70.05,45.05,62,12,1.54
176,Asau,RO,2020-08-30 02:27:17,46.43,26.4,63.0,83,0,4.43
177,Erenhot,CN,2020-08-30 02:27:17,43.65,111.98,61.56,86,100,11.86
178,Saluzzo,IT,2020-08-30 02:27:17,44.65,7.49,64.99,100,89,2.24
179,Vilyuysk,RU,2020-08-30 02:27:17,63.76,121.62,58.26,84,100,4.92
180,Hofn,IS,2020-08-30 02:27:18,64.25,-15.21,50.04,72,98,2.66
181,Port-Gentil,GA,2020-08-30 02:27:18,-0.72,8.78,75.16,87,89,14.63
182,Dalnegorsk,RU,2020-08-30 02:27:18,44.56,135.57,54.18,89,100,5.03
183,Niamey,NE,2020-08-30 02:22:48,13.51,2.11,78.8,83,80,5.82
184,Black River,JM,2020-08-30 02:27:18,18.03,-77.85,84.2,79,20,3.36
185,Rongcheng,CN,2020-08-30 02:27:18,30.63,117.85,84.99,91,0,2.19
186,Xianyang,CN,2020-08-30 02:27:19,34.34,108.7,78.01,69,90,11.18
187,Mar Del Plata,AR,2020-08-30 02:27:19,-38.0,-57.56,44.01,64,75,4.7
188,Raudeberg,NO,2020-08-30 02:27:19,61.99,5.14,48.99,86,100,19.37
189,Kuah,MY,2020-08-30 02:24:02,6.33,99.84,84.2,83,20,1.12
190,Zharkovskiy,RU,2020-08-30 02:27:19,55.85,32.27,58.77,95,100,9.22
191,Poum,NC,2020-08-30 02:27:19,-20.23,164.02,70.32,73,49,16.89
192,Goderich,CA,2020-08-30 02:27:19,43.75,-81.72,73.0,49,78,1.01
193,Dikson,RU,2020-08-30 02:27:19,73.51,80.55,41.81,96,100,20.67
194,Saint-Georges,GD,2020-08-30 02:27:20,12.06,-61.75,80.6,83,40,4.7
195,Tual,ID,2020-08-30 02:27:20,-5.67,132.75,79.38,84,94,21.41
196,Kuragino,RU,2020-08-30 02:27:20,53.9,92.67,56.57,87,15,3.09
197,Hithadhoo,MV,2020-08-30 02:27:20,-0.6,73.08,82.65,73,34,10.11
198,Sola,VU,2020-08-30 02:27:20,-13.88,167.55,79.7,84,51,23.73
199,Zalantun,CN,2020-08-30 02:27:20,48.0,122.72,55.51,91,100,8.32
200,Muroto,JP,2020-08-30 02:27:21,33.28,134.15,87.8,74,75,8.05
201,Yar-Sale,RU,2020-08-30 02:27:21,66.83,70.83,43.68,78,20,7.63
202,Nakamura,JP,2020-08-30 02:27:21,32.98,132.93,89.94,59,4,4.68
203,Kodiak,US,2020-08-30 02:27:21,57.79,-152.41,53.6,93,90,20.8
204,Dalvik,IS,2020-08-30 02:27:22,65.97,-18.53,53.6,66,91,4.7
205,Pevek,RU,2020-08-30 02:27:22,69.7,170.31,39.18,82,100,6.76
206,Ulaanbaatar,MN,2020-08-30 02:25:29,47.91,106.88,55.4,87,75,2.24
207,Ponta Delgada,PT,2020-08-30 02:27:22,37.73,-25.67,73.4,83,75,9.17
208,Touros,BR,2020-08-30 02:27:22,-5.2,-35.46,77.0,83,40,8.05
209,Eureka,US,2020-08-30 02:23:19,40.8,-124.16,61.0,44,2,5.28
210,Port Augusta,AU,2020-08-30 02:27:22,-32.5,137.77,62.6,59,90,11.41
211,Maua,BR,2020-08-30 02:27:23,-23.67,-46.46,72.0,64,0,1.12
212,Kondinskoye,RU,2020-08-30 02:27:23,59.65,67.41,56.8,92,90,6.71
